Title,URL
AI Is a Hall of Mirrors,https://www.thenewatlantis.com/publications/ai-is-a-hall-of-mirrors
thenewatlantis.com,https://news.ycombinator.com/from?site=thenewatlantis.com
"Cisco fixes WebEx flaw that allowed government, military meetings to be spied on",https://www.theregister.com/2024/06/07/cisco_fixes_webex_flaw_which/
theregister.com,https://news.ycombinator.com/from?site=theregister.com
BLISS Presentation: Protect Ya Stack with Emergent Reasons [video],https://www.youtube.com/watch?v=fWUTHSTIcCg
youtube.com,https://news.ycombinator.com/from?site=youtube.com
Confident Putin warns Europe is 'defenceless',https://www.bbc.com/news/articles/cn00e422yr2o
bbc.com,https://news.ycombinator.com/from?site=bbc.com
Framework Laptop 13 Deep Dive - Creating a custom high-resolution display,https://frame.work/ie/en/blog/framework-laptop-13-deep-dive-creating-a-custom-high-resolution
frame.work,https://news.ycombinator.com/from?site=frame.work
